	rownames(pathwaysOut)	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	overlapOut
1	1	Cytokine Signaling in Immune system Homo sapiens R-HSA-1280215	9/620	0.00387979824034009	0.742011413465041	0	0	2.90322580645161	16.1186287546781	IFITM1;IFITM2;CISH;TNFRSF13B;PSME1;IFNLR1;PTPN6;B2M;PSMB8	0.0145161290322581
2	2	JAK-STAT signaling pathway	4/164	0.00929232507172902	0.703893624183474	0	0	4.8780487804878	22.8222755153305	CISH;MYC;IFNLR1;PTPN6	0.024390243902439
3	3	Signaling by Rho GTPases Homo sapiens R-HSA-194315	7/367	0.00245905764935117	0.627059700584549	0	0	3.81471389645777	22.9187136253841	ARHGAP9;AKAP13;NCF2;ARHGDIB;B9D2;ARHGAP25;ARHGEF6	0.0190735694822888
4	4	Immune system signaling by interferons, interleukins, prolactin, and growth hormones	6/280	0.0028354972983695	0.389236447321632	0	0	4.28571428571429	25.1380197569944	IFITM1;IFITM2;CISH;PTPN6;B2M;PSMB8	0.0214285714285714
5	5	EGFR1 pathway	4/152	0.00715315286742312	0.635368284106407	0	0	5.26315789473684	26.0010634683787	PIK3IP1;MYC;ZYX;CORO1A	0.0263157894736842
6	6	Jak-STAT signaling pathway	5/199	0.00325340143994615	0.40938634785989	0	0	5.0251256281407	28.7841921258025	PTPN18;CISH;MYC;IFNLR1;PTPN6	0.0251256281407035
7	7	Interferon Signaling Homo sapiens R-HSA-913531	5/196	0.00304860010619393	0.666336880353816	0	0	5.10204081632653	29.5564937515452	IFITM1;IFITM2;PTPN6;B2M;PSMB8	0.0255102040816327
8	8	Antigen processing and presentation	3/81	0.00780578317929509	0.620354347407136	0	0	7.40740740740741	35.9473361982924	PSME1;B2M;PSMB8	0.037037037037037
9	9	Interferon signaling	5/168	0.00156012485768906	0.294473566888811	0	0	5.95238095238095	38.4701751425197	IFITM1;IFITM2;PTPN6;B2M;PSMB8	0.0297619047619048
10	10	Prolactin Signaling Pathway WP2037	3/76	0.00654799848395007	0.515109214070739	0	0	7.89473684210526	39.699440928963	CISH;MYC;PTPN6	0.0394736842105263
11	11	Antigen-activated B-cell receptor generation of second messengers	6/211	0.000671701080510989	0.253567157892898	0	0	5.68720379146919	41.5489884572779	PTPN18;IFITM1;MYC;DAPP1;HCLS1;PTPN6	0.028436018957346
12	12	Cyclin A-Cdk2-associated events at S phase entry	3/72	0.00563543249072426	0.607821647213831	0	0	8.33333333333333	43.1556781970131	MYC;PSME1;PSMB8	0.0416666666666667
13	13	B cell receptor signaling pathway	3/72	0.00563543249072426	0.56917868156315	0	0	8.33333333333333	43.1556781970131	IFITM1;DAPP1;PTPN6	0.0416666666666667
14	14	Cyclin A:Cdk2-associated events at S phase entry Homo sapiens R-HSA-69656	3/69	0.00500440096029744	0.69606667902319	0	0	8.69565217391304	46.0646744489602	MYC;PSME1;PSMB8	0.0434782608695652
15	15	IL-5 Signaling Pathway WP151	3/69	0.00500440096029744	0.293591523004117	0	0	8.69565217391304	46.0646744489602	ALOX5AP;HCLS1;PTPN6	0.0434782608695652
16	16	Cyclin E associated events during G1/S transition Homo sapiens R-HSA-69202	3/68	0.00480405471030925	0.735020370677315	0	0	8.82352941176471	47.1026028206344	MYC;PSME1;PSMB8	0.0441176470588235
17	17	Leishmaniasis	3/67	0.00460865008263432	0.698210487519099	0	0	8.95522388059701	48.1774951215975	NCF2;H2-DMA;PTPN6	0.0447761194029851
18	18	ER-Phagosome pathway Homo sapiens R-HSA-1236974	3/65	0.00423252222637027	0.719528778482946	0	0	9.23076923076923	50.4457587010464	PSME1;B2M;PSMB8	0.0461538461538462
19	19	Thymic stromal lymphopoietin (TSLP) pathway	4/90	0.00108164904634046	0.326658011994817	0	0	8.88888888888889	60.7046089564879	CISH;MYC;PSME1;PSMB8	0.0444444444444444
20	20	p38 MAPK Signaling Pathway  Homo sapiens h p38mapkPathway	2/30	0.00982857782071015	0.388228823918051	0	0	13.3333333333333	61.6328137698055	RPS6KA5;MYC	0.0666666666666667
21	21	Rho GTPase cycle	5/123	0.000382952932436738	0.289129463989737	0	0	8.13008130081301	63.964215188175	ARHGAP9;AKAP13;ARHGDIB;ARHGAP25;ARHGEF6	0.040650406504065
22	22	T cell receptor signaling in naive CD8+ T cells	3/55	0.0026353413771885	0.397936547955464	0	0	10.9090909090909	64.7862823687645	RASSF5;PTPN6;B2M	0.0545454545454545
23	23	Hematopoietic Stem Cell Differentiation WP2849	3/55	0.0026353413771885	0.414627043344324	0	0	10.9090909090909	64.7862823687645	LYL1;NFE2;LMO2	0.0545454545454545
24	24	Rho GTPase cycle Homo sapiens R-HSA-194840	5/122	0.00036883273112096	0.282157039307535	0	0	8.19672131147541	64.7964534417371	ARHGAP9;AKAP13;ARHGDIB;ARHGAP25;ARHGEF6	0.040983606557377
25	25	Interferon-gamma signaling pathway Homo sapiens P00035	2/28	0.00859620747114401	0.962775236768129	0	0	14.2857142857143	67.9490594959366	CISH;PTPN6	0.0714285714285714
26	26	Arachidonic acid metabolism Homo sapiens R-HSA-2142753	3/53	0.00237020480089914	0.725282669075138	0	0	11.3207547169811	68.4314594002309	GPX1;ALOX5AP;TBXAS1	0.0566037735849057
27	27	Antigen processing-Cross presentation Homo sapiens R-HSA-1236975	4/82	0.000763307494582887	0.291965116677954	0	0	9.75609756097561	70.0278009809603	NCF2;PSME1;B2M;PSMB8	0.0487804878048781
28	28	Eicosanoid Synthesis WP167	2/27	0.00800810651058956	0.539975181856896	0	0	14.8148148148148	71.5155694301407	ALOX5AP;TBXAS1	0.0740740740740741
29	29	Antigen processing: cross presentation	4/79	0.000663246653833737	0.333834149096314	0	0	10.126582278481	74.1100112411616	NCF2;PSME1;B2M;PSMB8	0.0506329113924051
30	30	Interleukin-9 regulation of target genes	2/26	0.0074389947886241	0.624049007267911	0	0	15.3846153846154	75.4003007434014	CISH;MYC	0.0769230769230769
31	31	RhoA activity regulation	3/46	0.00157518599530849	0.264281205879535	0	0	13.0434782608696	84.1745468010982	ARHGAP9;AKAP13;ARHGDIB	0.0652173913043478
32	32	Ras-independent pathway in NK cell-mediated cytotoxicity	2/24	0.00635854736076345	0.60008790717205	0	0	16.6666666666667	84.2992555018932	PTPN6;B2M	0.0833333333333333
33	33	Growth hormone receptor signaling Homo sapiens R-HSA-982772	2/24	0.00635854736076345	0.810714788497339	0	0	16.6666666666667	84.2992555018932	CISH;PTPN6	0.0833333333333333
34	34	Integrin-linked kinase signaling	3/45	0.00147778509269015	0.318779355708875	0	0	13.3333333333333	86.8961449488293	PARVG;ZYX;ARHGEF6	0.0666666666666667
35	35	Eicosanoid Metabolism Homo sapiens h eicosanoidPathway	2/23	0.00584761959206228	0.277177168663752	0	0	17.3913043478261	89.4212279632593	ALOX5AP;TBXAS1	0.0869565217391304
36	36	Eicosanoid metabolism	2/23	0.00584761959206228	0.588660372267602	0	0	17.3913043478261	89.4212279632593	ALOX5AP;TBXAS1	0.0869565217391304
37	37	The human immune response to tuberculosis WP4197	2/23	0.00584761959206228	0.552015289490679	0	0	17.3913043478261	89.4212279632593	IFITM1;PSMB8	0.0869565217391304
38	38	Selenium Micronutrient Network WP1272	2/23	0.00584761959206228	0.25729526205074	0	0	17.3913043478261	89.4212279632593	GPX1;TBXAS1	0.0869565217391304
39	39	B Cell Receptor Signaling Pathway WP23	5/97	0.000126525057311235	0.0298599135254516	0	0	10.3092783505155	92.5264967824795	PTPN18;MYC;DAPP1;HCLS1;PTPN6	0.0515463917525773
40	40	PI3K class IB pathway in neutrophils	3/43	0.00129454713089392	0.325794361274969	0	0	13.953488372093	92.785037453936	DAPP1;BMX;MYO1F	0.0697674418604651
41	41	Interferon alpha/beta signaling Homo sapiens R-HSA-909733	4/68	0.000374898293077499	0.191198129469524	0	0	11.7647058823529	92.8100680851793	IFITM1;IFITM2;PTPN6;PSMB8	0.0588235294117647
42	42	Growth Hormone Signaling Pathway Homo sapiens h ghPathway	2/22	0.00535649695773258	0.634744889491311	0	0	18.1818181818182	95.0808194585436	CISH;PTPN6	0.0909090909090909
43	43	Erk1/Erk2 Mapk Signaling pathway Homo sapiens h erkPathway	2/22	0.00535649695773258	0.423163259660874	0	0	18.1818181818182	95.0808194585436	RPS6KA5;MYC	0.0909090909090909
44	44	Ras-Independent pathway in NK cell-mediated cytotoxicity Homo sapiens h nkcellsPathway	2/22	0.00535649695773258	0.317372444745656	0	0	18.1818181818182	95.0808194585436	PTPN6;B2M	0.0909090909090909
45	45	Interferon alpha/beta signaling	4/64	0.000296993951805461	0.448460867226246	0	0	12.5	101.522484795754	IFITM1;IFITM2;PTPN6;PSMB8	0.0625
46	46	Imatinib and Chronic Myeloid Leukemia WP3640	2/20	0.00443449984753605	0.523270982009254	0	0	20	108.366808870582	LYL1;MYC	0.1
47	47	Eicosanoid biosynthesis	2/19	0.00400404563880334	0.465085301122542	0	0	21.0526315789474	116.220000406139	ALOX5AP;TBXAS1	0.105263157894737
48	48	Eicosanoid Synthesis WP318	2/18	0.00359423711737408	0.316292866328919	0	0	22.2222222222222	125.076078153334	ALOX5AP;TBXAS1	0.111111111111111
49	49	Antigen Processing and Presentation Homo sapiens h mhcPathway	2/12	0.00158104510229119	0.374707689243012	0	0	33.3333333333333	214.988973115443	B2M;PSMB8	0.166666666666667
50	50	TYROBP Causal Network WP3945	6/61	5.96870920151542e-07	0.000281723074311528	0	0	19.672131147541	281.932425463927	LYL1;GPX1;BIN2;NCF2;HCLS1;SAMSN1	0.0983606557377049
51	51	TYROBP Causal Network WP3625	6/58	4.4037927331019e-07	7.75067521025935e-05	0	0	20.6896551724138	302.806127514492	LYL1;GPX1;BIN2;NCF2;HCLS1;SAMSN1	0.103448275862069
52	52	Synthesis of 5-eicosatetraenoic acids Homo sapiens R-HSA-2142688	2/6	0.000366432168048497	0.5606412171142	0	0	66.6666666666667	527.446475608391	GPX1;ALOX5AP	0.333333333333333
