	rownames(pathwaysOut)	Term	Overlap	P.value	Adjusted.P.value	Old.P.value	Old.Adjusted.P.value	Odds.Ratio	Combined.Score	Genes	overlapOut
1	1	Endocytosis	10/244	0.00901131752442403	0.231290483126884	0	0	2.41791189129068	11.3866095771712	RUFY1;ARF3;GIT2;USP8;CYTH4;IST1;CHMP1A;MVB12A;VPS37A;PIP5K1C	0.040983606557377
2	2	Metabolism of proteins Homo sapiens R-HSA-392499	32/1074	0.00144558969537675	0.138234514620402	0	0	1.75782644759755	11.4948454103331	ARF3;PIGS;GALNT11;TRAM1;GOSR2;TAZ;PIGV;DCAF7;GOLGA2;GGA1;AP3M1;GNG2;MAN2A2;MAN1A2;ST8SIA4;MGAT1;TRAPPC3;FBXW5;COG5;TRAPPC5;SRD5A3;COG1;CSNK1D;TRAPPC9;PIAS1;PIGC;DPM2;DYNC1LI2;ATF6;SEC24C;GNE;PIGH	0.0297951582867784
3	3	Parathyroid hormone synthesis, secretion and action	6/107	0.00980641063627149	0.212238744485019	0	0	3.30824580266314	15.2997070899277	CREB3;ATF6B;ARAF;ITPR1;ADCY7;RUNX2	0.0560747663551402
4	4	Phospholipid metabolism	10/205	0.002700938210326	0.370765154326569	0	0	2.87790488524354	17.0203786776746	INPP4A;ARF3;MTMR1;SPTLC1;SLC44A2;INPP5K;PIK3CD;PIK3C3;PIP5K1C;TAZ	0.0487804878048781
5	5	Post-translational protein modification	10/196	0.00194828726185857	0.367739220675805	0	0	3.01005357895371	18.7851562808196	PIGS;PIGC;GALNT11;DPM2;MAN2A2;MAN1A2;MGAT1;PIGV;SEC24C;PIGH	0.0510204081632653
6	6	Thyroid hormone synthesis	5/74	0.00842911701518465	0.23601527642517	0	0	3.98628717212788	19.0387596891156	CREB3;ATF6B;ITPR1;ATP1A1;ADCY7	0.0675675675675676
7	7	T cell activation Homo sapiens P00053	5/73	0.00796744271524955	0.446176792053975	0	0	4.04089384571867	19.5271818866974	ARAF;ITPR1;PIK3CD;PIK3C3;VAV1	0.0684931506849315
8	8	Apelin signaling pathway	8/138	0.00247425168669837	0.0749698261069607	0	0	3.42011884913001	20.5269283997669	HDAC5;PRKAB2;GNG2;ITPR1;PRKAG2;PIK3C3;ADCY7;SLC9A1	0.0579710144927536
9	9	Phospholipid metabolism Homo sapiens R-HSA-1483257	9/161	0.00174222440757986	0.156800196682188	0	0	3.29797174737536	20.9506708746645	INPP4A;ARF3;MTMR1;SLC44A2;INPP5K;PIK3CD;PIK3C3;PIP5K1C;TAZ	0.0559006211180124
10	10	PDGF signaling pathway Homo sapiens P00047	7/112	0.00299650964388928	0.335609080115599	0	0	3.68731563421829	21.4244362820305	RPS6KA4;STAT2;ARAF;ITPR1;PIK3CD;PIK3C3;VAV1	0.0625
11	11	Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982	5/69	0.00629583887282797	0.4952726579958	0	0	4.27514856141251	21.6658815791757	PRKAB2;INSIG1;PRKAG2;ATF6;SEC24C	0.072463768115942
12	12	Retrograde transport at the Trans-Golgi-Network Homo sapiens R-HSA-6811440	4/49	0.00943370136075821	0.627546220954785	0	0	4.81608572632593	22.4596556510945	VPS51;COG5;STX16;COG1	0.0816326530612245
13	13	Autophagy	8/130	0.00170094596398081	0.064423328385773	0	0	3.63058770138416	23.1506992812527	UVRAG;ITPR1;ULK2;PIK3CD;PIK3C3;AMBRA1;ATG5;RAB33B	0.0615384615384615
14	14	N-glycan biosynthesis	4/48	0.00877833788772497	0.631204295736415	0	0	4.91642084562439	23.2815545520802	DPM2;MAN2A2;MAN1A2;MGAT1	0.0833333333333333
15	15	Rett syndrome causing genes WP4312	4/48	0.00877833788772497	0.591910783286598	0	0	4.91642084562439	23.2815545520802	HDAC5;XAB2;TCF4;RHOBTB2	0.0833333333333333
16	16	Mitophagy	5/65	0.00488728581604076	0.150528403134055	0	0	4.5382346267302	24.1484827657629	USP8;FUNDC1;AMBRA1;TBC1D17;ATG5	0.0769230769230769
17	17	Interferon alpha/beta signaling	5/64	0.00457350922437149	0.383666607155608	0	0	4.60914454277286	24.8316486262562	IFNAR2;STAT2;IRF8;ADAR;IFNAR1	0.078125
18	18	Lysosome	8/124	0.0012578735578371	0.0952839220061606	0	0	3.80626129983823	25.4194790606861	CD164;GGA1;AP3M1;MANBA;AP3D1;AP3B1;TCIRG1;MCOLN1	0.0645161290322581
19	19	Longevity regulating pathway	7/102	0.00176239451565721	0.0775453586889172	0	0	4.04881716698479	25.6738811500895	CREB3;PRKAB2;ATF6B;PRKAG2;PIK3CD;ADCY7;ATG5	0.0686274509803922
20	20	Herpes simplex virus 1 infection	20/433	5.48041685856841e-05	0.00830283154073114	0	0	2.72503695831375	26.737365837088	ZFP810;IFNAR2;ZFP952;H2-T23;ZFP984;ZFP764;STAT2;TRADD;ZFP426;PIK3CD;ZFP959;TAPBP;BST2;NXF1;ZFP68;ZFP84;ZFP65;ZFP87;ZFP472;IFNAR1	0.046189376443418
21	21	Phosphatidylinositol signaling system	7/99	0.00148316350861655	0.152271453551299	0	0	4.17150859628736	27.1714464802579	INPP4A;MTMR1;ITPR1;INPP5K;PIK3CD;PIK3C3;PIP5K1C	0.0707070707070707
22	22	COPI-mediated anterograde transport Homo sapiens R-HSA-6807878	6/78	0.00209209017209674	0.177827664628223	0	0	4.5382346267302	27.999054369919	ARF3;GOLGA2;DYNC1LI2;COG5;GOSR2;COG1	0.0769230769230769
23	23	Inositol phosphate metabolism	5/57	0.0027646060402321	0.347879593395872	0	0	5.17517983749935	30.4862450710962	INPP4A;PIK3CD;INPP5K;PIK3C3;PIP5K1C	0.087719298245614
24	24	Post-translational protein modification Homo sapiens R-HSA-597592	24/521	1.03543769174386e-05	0.00264036611394686	0	0	2.71771440218776	31.1942010417601	ARF3;PIGS;GALNT11;TRAPPC3;COG5;GOSR2;TRAPPC5;SRD5A3;COG1;CSNK1D;TRAPPC9;PIGV;PIAS1;GOLGA2;PIGC;DPM2;DYNC1LI2;MAN2A2;MAN1A2;ST8SIA4;MGAT1;SEC24C;GNE;PIGH	0.0460652591170825
25	25	Interferon alpha signaling regulation	3/25	0.00842043292180521	0.635742685596294	0	0	7.07964601769911	33.8201347692623	IFNAR2;STAT2;IFNAR1	0.12
26	26	Regulation of IFNA signaling Homo sapiens R-HSA-912694	3/25	0.00842043292180521	0.585602835016453	0	0	7.07964601769911	33.8201347692623	IFNAR2;STAT2;IFNAR1	0.12
27	27	p38 alpha/beta MAPK downstream pathway	4/38	0.00380005140957765	0.337533978144839	0	0	6.21021580499922	34.6079222698655	RPS6KA4;ATF6;USF1;SLC9A1	0.105263157894737
28	28	Interferon alpha/beta signaling Homo sapiens R-HSA-909733	6/68	0.00102651244787402	0.10470426968315	0	0	5.20562207183758	35.8229473974888	IFNAR2;BST2;STAT2;IRF8;ADAR;IFNAR1	0.0882352941176471
29	29	Macroautophagy Homo sapiens R-HSA-1632852	6/67	0.000949252400031224	0.103739726574841	0	0	5.28331792365606	36.7710253890416	UVRAG;PRKAB2;PRKAG2;PIK3C3;AMBRA1;ATG5	0.0895522388059701
30	30	SNARE interactions in vesicular transport	4/36	0.00311390068092321	0.313466001879603	0	0	6.55522779416585	37.8359823038462	STX16;GOSR2;STX7;USE1	0.111111111111111
31	31	Transport to the Golgi and subsequent modification	4/36	0.00311390068092321	0.293874376762128	0	0	6.55522779416585	37.8359823038462	MAN2A2;MAN1A2;MGAT1;SEC24C	0.111111111111111
32	32	Target Of Rapamycin (TOR) Signaling WP1471	4/36	0.00311390068092321	0.293952224279151	0	0	6.55522779416585	37.8359823038462	PRKAB2;MAPKAP1;PRKAG2;ULK2	0.111111111111111
33	33	N-Glycan biosynthesis	5/50	0.00154031922197242	0.118604580091877	0	0	5.89970501474926	38.2051067672124	DPM2;MAN2A2;MAN1A2;SRD5A3;MGAT1	0.1
34	34	Vesicle-mediated transport Homo sapiens R-HSA-5653656	25/492	1.1944746918386e-06	0.00036550925570261	0	0	2.99781758879536	40.883648876561	ARF3;STX16;GOSR2;PRKAG2;USE1;GOLGA2;BLOC1S6;CYTH4;MAN2A2;VPS51;MAN1A2;TRAPPC3;PRKAB2;COG5;TRAPPC5;COG1;CSNK1D;AP3B1;VPS37A;TRAPPC9;RAB33B;DYNC1LI2;RAB14;SEC24C;RAB3GAP1	0.0508130081300813
35	35	TOR signaling	4/34	0.00251748725330332	0.380140575248801	0	0	6.94082942911678	41.5373520501155	PRKAB2;MAPKAP1;PRKAG2;ULK2	0.117647058823529
36	36	Intra-Golgi and retrograde Golgi-to-ER traffic Homo sapiens R-HSA-6811442	13/179	1.20855411466429e-05	0.00264155399348051	0	0	4.28470196601902	48.5178259961744	ARF3;COG5;STX16;GOSR2;COG1;USE1;RAB33B;DYNC1LI2;CYTH4;MAN2A2;VPS51;MAN1A2;RAB3GAP1	0.0726256983240224
37	37	COPII (Coat Protein 2) Mediated Vesicle Transport Homo sapiens R-HSA-204005	7/68	0.000150901824067116	0.0192399825685573	0	0	6.07322575047718	53.4375912982867	GOLGA2;TRAPPC3;GOSR2;TRAPPC5;CSNK1D;TRAPPC9;SEC24C	0.102941176470588
38	38	ER to Golgi Anterograde Transport Homo sapiens R-HSA-199977	11/131	1.46467481994198e-05	0.00280119059313903	0	0	4.95395077574366	55.1438736938643	GOLGA2;ARF3;TRAPPC3;DYNC1LI2;COG5;GOSR2;TRAPPC5;COG1;CSNK1D;TRAPPC9;SEC24C	0.083969465648855
39	39	Membrane Trafficking Homo sapiens R-HSA-199991	25/420	6.19619150271525e-08	9.48017299915433e-05	0	0	3.51172917544599	58.2832768450637	ARF3;STX16;GOSR2;PRKAG2;USE1;GOLGA2;BLOC1S6;CYTH4;MAN2A2;VPS51;MAN1A2;TRAPPC3;PRKAB2;COG5;TRAPPC5;COG1;CSNK1D;AP3B1;VPS37A;TRAPPC9;RAB33B;DYNC1LI2;RAB14;SEC24C;RAB3GAP1	0.0595238095238095
40	40	Asparagine N-linked glycosylation Homo sapiens R-HSA-446203	18/259	4.94922681205371e-07	0.000378615851122109	0	0	4.10018109133153	59.5299728137353	ARF3;TRAPPC3;COG5;GOSR2;SRD5A3;TRAPPC5;COG1;CSNK1D;TRAPPC9;GOLGA2;DPM2;DYNC1LI2;MAN2A2;MAN1A2;ST8SIA4;MGAT1;SEC24C;GNE	0.0694980694980695
41	41	SODD/TNFR1 Signaling Pathway Homo sapiens h soddPathway	2/9	0.00953175510724506	1	0	0	13.1104555883317	61.00460716775	TRADD;MADD	0.222222222222222
42	42	PI Metabolism Homo sapiens R-HSA-1483255	7/60	6.74898534017761e-05	0.0103259475704717	0	0	6.88298918387414	66.1010157713969	ARF3;INPP4A;MTMR1;PIK3CD;INPP5K;PIK3C3;PIP5K1C	0.116666666666667
43	43	Synthesis of PIPs at the plasma membrane Homo sapiens R-HSA-1660499	5/34	0.000252349539663609	0.0296995996681017	0	0	8.67603678639597	71.8783217888059	INPP4A;MTMR1;PIK3CD;INPP5K;PIP5K1C	0.147058823529412
44	44	Transport to the Golgi and subsequent modification Homo sapiens R-HSA-948021	14/162	7.12874916272082e-07	0.000272674655474071	0	0	5.09851050657344	72.1641130809173	ARF3;TRAPPC3;COG5;GOSR2;TRAPPC5;COG1;CSNK1D;TRAPPC9;GOLGA2;DYNC1LI2;MAN2A2;MAN1A2;MGAT1;SEC24C	0.0864197530864197
45	45	Import of palmitoyl-CoA into the mitochondrial matrix	2/8	0.00749710237399655	0.595822346564989	0	0	14.7492625368732	72.1716619944854	PRKAB2;PRKAG2	0.25
46	46	AMPK inhibits chREBP transcriptional activation activity Homo sapiens R-HSA-163680	2/8	0.00749710237399655	0.546217458676891	0	0	14.7492625368732	72.1716619944854	PRKAB2;PRKAG2	0.25
47	47	Glycosylation of mammalian N-linked oligosaccarides	3/15	0.001887692971014	0.407202340890163	0	0	11.7994100294985	74.0106176491807	MAN2A2;MAN1A2;ST8SIA4	0.2
48	48	PIP biosynthesis at the plasma membrane	5/33	0.000218244965047919	0.0823874743055894	0	0	8.93894699204434	75.3543616086986	INPP4A;MTMR1;PIK3CD;INPP5K;PIP5K1C	0.151515151515152
49	49	Nanoparticle triggered autophagic cell death WP2509	4/23	0.000556506016724485	0.131335419946979	0	0	10.26035654739	76.8893941319274	UVRAG;ULK2;AMBRA1;ATG5	0.173913043478261
